PLAYER_ID,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON
201952,1.9,1.0,0.9,4.01,4.43,3.61,15-16
203481,0.9,0.5,0.4,4.23,4.46,3.96,15-16
203924,2.0,1.1,0.9,4.43,4.71,4.15,15-16
202379,0.6,0.3,0.3,4.48,4.82,4.13,15-16
203087,1.4,0.7,0.6,4.42,4.75,4.07,15-16
202391,1.9,1.0,0.8,4.31,4.67,3.94,15-16
1626170,1.2,0.7,0.6,4.35,4.63,4.07,15-16
201573,2.0,1.0,0.9,4.08,4.33,3.83,15-16
202690,0.2,0.1,0.1,4.45,4.76,4.13,15-16
202710,2.7,1.4,1.2,4.33,4.63,4.03,15-16
201149,1.6,0.8,0.7,4.32,4.76,3.91,15-16
201975,1.1,0.6,0.5,4.56,5.0,3.85,15-16
203925,0.2,0.1,0.1,4.38,4.22,4.6,15-16
204060,1.1,0.6,0.5,4.18,4.37,3.97,15-16
2207,2.3,1.3,1.0,4.17,4.53,3.8,15-16
1626202,0.7,0.4,0.3,4.59,5.03,4.18,15-16
201202,0.3,0.2,0.2,4.08,4.23,3.91,15-16
203530,1.2,0.7,0.6,4.18,4.45,3.91,15-16
203089,1.2,0.6,0.6,4.11,4.25,3.97,15-16
203098,0.8,0.4,0.4,4.44,4.73,4.17,15-16
202322,2.4,1.3,1.1,4.0,4.43,3.61,15-16
203948,0.9,0.5,0.4,4.37,4.62,4.13,15-16
202720,1.4,0.7,0.7,4.44,4.83,4.07,15-16
201973,1.1,0.6,0.5,4.39,4.78,4.02,15-16
202685,1.7,1.0,0.8,4.06,4.19,3.92,15-16
203613,1.1,0.6,0.5,4.33,4.62,4.03,15-16
203919,0.6,0.3,0.3,4.92,4.94,4.08,15-16
203903,2.4,1.3,1.1,4.39,4.59,4.18,15-16
200770,1.8,1.0,0.8,4.36,4.84,3.87,15-16
202706,2.0,1.1,0.9,4.38,4.63,4.09,15-16
201941,1.4,0.7,0.7,4.03,4.17,3.9,15-16
203895,0.6,0.3,0.3,4.08,4.47,3.72,15-16
1626175,0.2,0.1,0.1,4.2,4.6,3.83,15-16
203268,0.4,0.2,0.2,4.46,4.63,4.28,15-16
101181,2.0,1.1,0.9,4.26,4.67,3.82,15-16
203962,0.8,0.4,0.4,4.48,4.98,4.02,15-16
201177,1.0,0.5,0.4,4.14,4.58,3.68,15-16
1626196,1.5,0.8,0.7,4.34,4.53,4.15,15-16
2746,1.0,0.5,0.5,3.82,4.01,3.64,15-16
201950,2.1,1.1,1.0,4.44,5.08,3.87,15-16
203944,1.9,1.1,0.9,4.07,4.32,3.81,15-16
1626147,0.9,0.5,0.4,4.41,4.82,4.0,15-16
202712,0.5,0.3,0.2,4.28,4.7,3.84,15-16
