PLAYER_ID,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_PTS,PULL_UP_EFG_PCT,SEASON
101107,0.3,0.7,0.413,0.2,0.7,0.467,13-14
203486,0.0,0.1,0.0,0.0,0.0,0.0,13-14
2440,0.1,0.4,0.28,0.2,0.3,0.32,13-14
2588,0.1,0.3,0.389,0.0,0.2,0.417,13-14
203521,0.4,1.0,0.391,0.3,0.8,0.442,13-14
203090,0.2,0.7,0.339,0.3,0.6,0.393,13-14
2408,0.0,0.0,,,0.0,,13-14
1897,0.5,1.4,0.35,0.4,1.0,0.375,13-14
203086,0.1,0.2,0.5,0.1,0.2,0.5,13-14
201563,0.4,1.2,0.358,0.1,0.9,0.366,13-14
203487,1.3,3.9,0.336,1.1,2.9,0.37,13-14
203077,0.1,0.2,0.462,0.0,0.2,0.462,13-14
201144,2.1,5.2,0.413,1.4,4.7,0.458,13-14
2399,0.8,1.7,0.453,0.3,1.7,0.514,13-14
200839,0.2,0.4,0.375,0.0,0.3,0.375,13-14
2229,0.2,0.7,0.25,0.0,0.4,0.25,13-14
2034,0.5,1.0,0.474,0.1,1.0,0.513,13-14
203488,0.0,0.3,0.0,0.0,0.0,0.0,13-14
203118,0.1,0.3,0.231,0.1,0.2,0.231,13-14
203101,0.0,0.2,0.143,,0.1,0.143,13-14
203545,0.0,0.0,0.5,,0.0,0.5,13-14
203141,0.3,0.7,0.404,0.2,0.7,0.462,13-14
2590,2.0,4.8,0.408,1.1,4.2,0.441,13-14
101145,2.3,6.0,0.378,0.9,4.7,0.393,13-14
201203,0.0,0.0,,0.0,0.0,,13-14
201986,0.4,1.1,0.34,0.3,0.8,0.38,13-14
101126,1.3,3.8,0.352,1.5,3.2,0.427,13-14
203489,0.8,2.2,0.362,0.3,1.7,0.381,13-14
1737,0.1,0.1,0.4,,0.1,0.4,13-14
203517,0.1,0.5,0.231,0.2,0.3,0.269,13-14
2403,0.2,0.5,0.308,0.0,0.3,0.308,13-14
201979,0.4,1.1,0.321,0.2,0.8,0.333,13-14
2555,0.1,0.1,0.417,0.0,0.1,0.417,13-14
201156,2.5,6.2,0.406,1.8,5.7,0.458,13-14
201587,1.0,2.7,0.376,1.0,2.3,0.424,13-14
201593,0.1,0.3,0.389,,0.3,0.389,13-14
202696,0.2,0.5,0.357,,0.4,0.357,13-14
202708,0.5,1.3,0.402,0.1,1.1,0.411,13-14
