PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
200794,65.5,43.2,2.2,2.04,1.06,0.275,5.2,6.4,6.3,13-14
1718,46.9,30.8,1.9,2.43,1.23,0.286,1.1,1.3,0.9,13-14
203544,32.0,20.3,0.8,1.41,0.36,0.217,0.7,0.8,2.9,13-14
203103,13.6,8.5,0.4,1.8,0.63,0.256,0.7,0.3,1.1,13-14
203491,19.8,6.1,2.2,6.61,7.03,0.114,0.0,0.0,0.2,13-14
203515,35.1,12.9,2.9,4.88,5.03,0.081,0.3,0.0,0.3,13-14
203112,19.1,9.3,0.5,1.57,0.26,0.142,1.1,0.2,2.2,13-14
203113,17.1,11.2,0.7,2.53,1.73,0.289,0.5,0.3,1.0,13-14
202347,22.3,17.9,0.9,2.54,1.73,0.281,0.3,0.4,1.5,13-14
200765,92.0,34.7,8.4,5.5,5.16,0.127,2.1,0.9,1.5,13-14
201196,59.3,29.5,4.5,4.6,4.0,0.208,1.3,0.1,1.3,13-14
200751,43.5,27.0,2.6,3.65,3.16,0.303,0.7,0.2,0.7,13-14
1740,23.7,13.5,0.6,1.5,0.41,0.189,1.1,0.7,0.8,13-14
2446,8.5,6.6,0.3,2.0,0.73,0.321,0.1,0.2,0.2,13-14
951,32.5,22.7,1.2,2.13,1.47,0.295,1.0,0.2,0.8,13-14
203492,42.0,15.1,4.2,6.01,6.58,0.148,0.6,0.0,0.8,13-14
101109,71.5,28.5,5.9,4.92,4.65,0.136,0.8,0.2,1.1,13-14
203493,10.0,7.1,0.3,1.65,0.72,0.269,0.3,0.0,0.2,13-14
2501,19.8,9.2,0.6,1.8,0.45,0.201,1.8,0.7,4.6,13-14
202704,57.8,20.0,5.1,5.31,5.33,0.226,0.6,0.1,0.8,13-14
202130,9.7,5.0,0.8,4.88,3.24,0.379,0.0,0.0,0.0,13-14
2210,37.8,31.4,1.3,2.14,0.84,0.268,0.6,0.7,0.9,13-14
203495,4.7,3.7,0.2,2.28,1.81,0.365,0.1,0.0,0.0,13-14
201937,85.6,28.6,7.3,5.12,5.17,0.111,0.5,0.0,0.9,13-14
203133,17.5,10.8,0.4,1.53,0.5,0.195,0.5,0.1,0.8,13-14
203496,5.4,4.0,0.1,1.55,0.82,0.421,0.0,0.0,0.3,13-14
203135,26.1,15.5,0.7,1.68,0.47,0.206,2.1,1.4,4.1,13-14
201577,33.8,21.2,0.8,1.35,0.41,0.328,4.5,1.8,8.4,13-14
201155,39.2,25.2,2.5,3.84,3.21,0.353,1.6,2.0,1.6,13-14
2427,13.3,8.6,0.7,3.07,2.77,0.223,0.0,0.0,0.1,13-14
200758,6.6,4.6,0.2,1.81,0.84,0.044,0.1,0.0,0.3,13-14
101179,22.9,10.1,1.8,4.81,4.67,0.104,0.3,0.0,0.3,13-14
101142,22.9,12.7,0.6,1.62,0.4,0.21,4.8,0.7,5.8,13-14
201579,38.7,26.5,1.1,1.74,0.38,0.278,2.8,7.5,8.3,13-14
2767,6.0,2.5,0.8,7.59,7.08,0.0,0.0,0.0,0.0,13-14
203091,2.3,1.7,0.1,1.72,0.43,0.0,0.3,0.3,0.3,13-14
200752,55.9,39.9,3.2,3.4,2.29,0.357,1.9,4.2,3.4,13-14
203497,11.7,6.0,0.3,1.62,0.36,0.198,1.7,0.6,2.5,13-14
201566,74.4,23.5,7.0,5.62,5.56,0.293,0.8,1.5,2.2,13-14
201583,52.3,31.7,1.4,1.56,0.52,0.379,2.8,3.0,5.5,13-14
101155,10.0,6.2,0.3,1.96,0.64,0.12,0.6,0.6,0.4,13-14
200797,8.5,4.4,0.2,1.4,0.28,0.272,0.9,0.2,1.9,13-14
